연번,시도명,시군구명,행정동명,도로명주소,구분,세부위치,박스개수,관리부서,관리자연락처,데이터기준일자
35.0,서울특별시,마포구,신수동,서울특별시 마포구 독막로29길 30,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
36.0,서울특별시,마포구,신수동,서울특별시 마포구 토정로14길 27,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
37.0,서울특별시,마포구,신수동,서울특별시 마포구 독막로24길 25,주택가,근상프리즘4동앞,1.0,자원순환과,02-3153-9216,2026-03-18
38.0,,,신수동,서울특별시 마포구 독막로32길 28,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
39.0,서울특별시,마포구,서강동,서울특별시 마포구 와우산로30길 54,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
40.0,서울특별시,마포구,서강동,서울특별시 마포구 와우산로30길 135,주택가,중앙하이츠 마을버스 종점,1.0,자원순환과,02-3153-9216,2026-03-18
41.0,서울특별시,마포구,서강동,서울특별시 마포구 서강로 97,주택가,삼성아파트 상가 옹벽,1.0,자원순환과,02-3153-9216,2026-03-18
42.0,서울특별시,마포구,서강동,서울특별시 마포구 와우산로 150-2,주택가,와우산입구,1.0,자원순환과,02-3153-9216,2026-03-18
43.0,서울특별시,마포구,서강동,서울특별시 마포구 독막로 165,주택가,광흥창역2번출구,1.0,자원순환과,02-3153-9216,2026-03-18
44.0,서울특별시,마포구,서강동,서울특별시 마포구 토정로 93,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
45.0,서울특별시,마포구,서교동,서울특별시 마포구 월드컵로10길 56,주택가,도서출판 길벗 앞,1.0,자원순환과,02-3153-9216,2026-03-18
46.0,서울특별시,마포구,서교동,서울특별시 마포구 월드컵로 74,주택가,망원역 1번 출구,1.0,자원순환과,02-3153-9216,2026-03-18
47.0,서울특별시,마포구,서교동,서울특별시 마포구 신촌로6길 5,주택가,담장 모퉁이,1.0,자원순환과,02-3153-9216,2026-03-18
48.0,서울특별시,마포구,서교동,서울특별시 마포구 동교로 120,주택가,서교가든,1.0,자원순환과,02-3153-9216,2026-03-18
49.0,서울특별시,마포구,서교동,서울특별시 마포구 양화로11길 21,주택가,서교 어린이공원,1.0,자원순환과,02-3153-9216,2026-03-18
50.0,서울특별시,마포구,서교동,서울특별시 마포구 양화로 156,주택가,LG팰리스B/D 뒤,1.0,자원순환과,02-3153-9216,2026-03-18
51.0,서울특별시,마포구,서교동,서울특별시 마포구 홍익로 10,주택가,서교푸르지오후면담장앞,1.0,자원순환과,02-3153-9216,2026-03-18
52.0,서울특별시,마포구,서교동,서울특별시 마포구 월드컵북로4길 54,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
53.0,서울특별시,마포구,서교동,서울특별시 마포구 동교로 158,주택가,서교동연탄집앞,1.0,자원순환과,02-3153-9216,2026-03-18
54.0,서울특별시,마포구,합정동,서울특별시 마포구 독막로8길 32,주택가,동삼주택 앞,1.0,자원순환과,02-3153-9216,2026-03-18
55.0,서울특별시,마포구,합정동,서울특별시 마포구 희우정로 41,주택가,백운아트 빌라 앞,1.0,자원순환과,02-3153-9216,2026-03-18
56.0,서울특별시,마포구,합정동,서울특별시 마포구 동교로8길 58,주택가,우리마포시니어클럽옆,1.0,자원순환과,02-3153-9216,2026-03-18
57.0,서울특별시,마포구,합정동,서울특별시 마포구 동교로 16-18,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
58.0,서울특별시,마포구,합정동,서울특별시 마포구 독막로4길 17,주택가,성산중학교 담장 옆,1.0,자원순환과,02-3153-9216,2026-03-18
59.0,서울특별시,마포구,합정동,서울특별시 마포구 성지1길 10-8,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
60.0,서울특별시,마포구,합정동,서울특별시 마포구 성지1길 32-13,주택가,성산중학교 후문 앞,1.0,자원순환과,02-3153-9216,2026-03-18
61.0,서울특별시,마포구,망원1동,서울특별시 마포구 포은로6길 10,주민센터,망원1동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
62.0,서울특별시,마포구,망원1동,서울특별시 마포구 월드컵로15길 53,주택가,한마음공원 민방위급수시설 뒤,1.0,자원순환과,02-3153-9216,2026-03-18
63.0,서울특별시,마포구,망원1동,서울특별시 마포구 동교로 75,주택가,조명가게앞,1.0,자원순환과,02-3153-9216,2026-03-18
64.0,서울특별시,마포구,망원1동,서울특별시 마포구 망원로4길 38,주택가,옹달샘공원앞,1.0,자원순환과,02-3153-9216,2026-03-18
65.0,서울특별시,마포구,망원1동,서울특별시 마포구 희우정로20길 53,주택가,현대타운 9동 코너 앞,1.0,자원순환과,02-3153-9216,2026-03-18
66.0,서울특별시,마포구,망원1동,서울특별시 마포구 망원로 12,주택가,CU편의점 맞은 편,1.0,자원순환과,02-3153-9216,2026-03-18
67.0,서울특별시,마포구,망원2동,서울특별시 마포구 방울내로7길 11,주민센터,망원2동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
68.0,서울특별시,마포구,망원2동,서울특별시 마포구 방울내로11길 157,주택가,삼성주택,1.0,자원순환과,02-3153-9216,2026-03-18
69.0,서울특별시,마포구,망원2동,서울특별시 마포구 방울내로 41,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
70.0,서울특별시,마포구,망원2동,서울특별시 마포구 방울내로 19,주택가,공중화장실 앞,1.0,자원순환과,02-3153-9216,2026-03-18
71.0,서울특별시,마포구,망원2동,서울특별시 마포구 방울내로5길 28,주택가,망원초등학교 모퉁이,1.0,자원순환과,02-3153-9216,2026-03-18
72.0,서울특별시,마포구,연남동,서울특별시 마포구 성미산로29길 17-9,주민센터,연남동주민센터 주차장,1.0,자원순환과,02-3153-9216,2026-03-18
73.0,서울특별시,마포구,연남동,서울특별시 마포구 성미산로29길 17-3,주택가,은행나무어린이공원 입구,1.0,자원순환과,02-3153-9216,2026-03-18
74.0,서울특별시,마포구,연남동,서울특별시 마포구 동교로 282,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
75.0,서울특별시,마포구,연남동,서울특별시 마포구 동교로51길 17,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
76.0,서울특별시,마포구,연남동,서울특별시 마포구 동교로51길 51,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
77.0,서울특별시,마포구,연남동,서울특별시 마포구 연남로 67,주택가,이조빌라 담장,1.0,자원순환과,02-3153-9216,2026-03-18
78.0,서울특별시,마포구,연남동,서울특별시 마포구 연남로3길 80,주택가,느티나무공원 옆,1.0,자원순환과,02-3153-9216,2026-03-18
79.0,서울특별시,마포구,연남동,서울특별시 마포구 성미산로19길 8,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
80.0,서울특별시,마포구,연남동,서울특별시 마포구 연남로7길 38,주택가,담장코너,1.0,자원순환과,02-3153-9216,2026-03-18
81.0,서울특별시,마포구,성산1동,서울특별시 마포구 성산로4길 15,주민센터,성산1동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
82.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵로30길 12,주택가,노블에비뉴 담벽(승남철물점 맞은편),1.0,자원순환과,02-3153-9216,2026-03-18
83.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵로26길 52,주택가,광성슈퍼 앞,1.0,자원순환과,02-3153-9216,2026-03-18
84.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵로30가길 27,주택가,갤럭시빌라(에덴마트),1.0,자원순환과,02-3153-9216,2026-03-18
85.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵북로12길 106,주택가,해피존Ⅱ(3-4라인) 맞은편,1.0,자원순환과,02-3153-9216,2026-03-18
86.0,서울특별시,마포구,성산1동,서울특별시 마포구 연남로13길 21,주택가,동양하우징 101동 맞은편,1.0,자원순환과,02-3153-9216,2026-03-18
87.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵북로18길 13,주택가,the M hotel 뒤편,1.0,자원순환과,02-3153-9216,2026-03-18
88.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵북로12길 27,주택가,다솜어린이공원 앞,1.0,자원순환과,02-3153-9216,2026-03-18
89.0,서울특별시,마포구,성산1동,서울특별시 마포구 성미산로3길 67,주택가,성서초교 후문(성미산로옹벽4번길위),1.0,자원순환과,02-3153-9216,2026-03-18
90.0,서울특별시,마포구,성산1동,서울특별시 마포구 월드컵북로15길 37,주택가,나눔빌,1.0,자원순환과,02-3153-9216,2026-03-18
91.0,서울특별시,마포구,성산1동,서울특별시 마포구 성산로2길 21,주택가,대한경호무술협회,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 월드컵북로30길 22,주민센터,성산2동주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 새터산길 25,주택가,쌍둥이어린이공원,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 모래내로3길 16,주택가,새터근린공원,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 새터산14안길 13,주택가,부성빌라,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 성암로9안길 25,주택가,신혼빌라 B동 건너,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 성암로1길 22,주택가,소노하우스앞,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,성산2동,서울특별시 마포구 월드컵북로36길 23-1,주택가,,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,상암동,서울특별시 마포구 매봉산로2길 16,주민센터,상암동 주민센터,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,상암동,서울특별시 마포구 매봉산로2길 51,주택가,휴암공원 앞,1.0,자원순환과,02-3153-9216,2026-03-18
,서울특별시,마포구,상암동,서울특별시 마포구 상암동 1619번지,주택가,새누리공원 앞,1.0,자원순환과,02-3153-9216,2026-03-18
