위치정보,소재지도로명주소,위도,경도
신사 휴플러스,서울특별시 은평구 갈현로1길 31,37.5987326800,126.9061691000
신사 위브2차,서울특별시 은평구 가좌로12길 15,37.5990501000,126.9073648000
형진 아파트,서울특별시 은평구 가좌로12길 12,37.5980296500,126.9080932000
신사 현대2차 아파트,서울특별시 은평구 가좌로11길 29-2,37.5954810200,126.9053107000
신사 홍익 아파트,서울특별시 은평구 가좌로 342,37.5976067500,126.9081560000
신사 성원아파트,서울특별시 은평구 갈현로4길 26-5,37.6006463000,126.9133776000
대한성결교회 은평교회,서울특별시 은평구 은평로3길 10,37.5996986600,126.9151693000
삼부아파트,서울특별시 은평구 증산로21길 11,37.5956822800,126.9134497000
서울기독대학교,서울특별시 은평구 갈현로4길 26-2,37.6007525900,126.9121983000
신사제1동주민센터,서울특별시 은평구 은평로2길 2,37.5977931200,126.9117544000
신사 씨티 아파트,서울특별시 은평구 가좌로 391,37.6004863800,126.9038672000
굿모인기룡 아파트,서울특별시 은평구 은평터널로 167,37.5936443200,126.9074098000
뉴신성 아파트,서울특별시 은평구 은평터널로 163,37.5933091000,126.9072109000
신사 현대1차 아파트,서울특별시 은평구 은평터널로 164,37.5938629300,126.9086409000
신사 신성미소지움3차,서울특별시 은평구 은평터널로7길 2,37.5928142300,126.9063122000
팥배숲마을,서울특별시 은평구 은평터널로 143-5,37.5918900600,126.9057596000
신사 이랜드타운,서울특별시 은평구 은평터널로 121-6,37.5902756100,126.9036431000
대림한숲타운아파트,서울특별시 은평구 은평터널로 65,37.5869084200,126.8990841000
신사 신성 아파트,서울특별시 은평구 증산로15길 67-7,37.5901955100,126.9056938000
신사 대림파크빌,서울특별시 은평구 증산로15길 50,37.5907135200,126.9081207000
신사 미성 아파트,서울특별시 은평구 증산로15길 69-14,37.5903702400,126.9051024000
서울서신초등학교,서울특별시 은평구 은평터널로 150,37.5922925300,126.9073843000
서울신사초등학교,서울특별시 은평구 가좌로 275-2,37.5928305500,126.9119851000
서울상신초등학교,서울특별시 은평구 가좌로 361,37.5975558200,126.9046009000
덕산중학교,서울특별시 은평구 가좌로 400,37.6022599300,126.9046792000
상신중학교,서울특별시 은평구 증산로15길 61,37.5897877900,126.9064244000
숭실중학교,서울특별시 은평구 은평터널로7길 6,37.5932734100,126.9023876000
숭실고등학교,서울특별시 은평구 은평터널로7길 6,37.5932734100,126.9023876000
신사2동주민센터,서울특별시 은평구 증산로15길 47,37.5902533300,126.9080481000
역촌 센트레빌,서울특별시 은평구 갈현로3나길 23,37.6035678400,126.9058039000
역촌 성당,서울특별시 은평구 역말로 14,37.6052827100,126.9119738000
예일조명,서울특별시 은평구 갈현로 108,37.6074262900,126.9109007000
역촌동 미랜드아파트,서울특별시 은평구 진흥로1길 11,37.6013597300,126.9184634000
서울역촌초등학교,서울특별시 은평구 은평로3길 25,37.6015794500,126.9139303000
역촌동주민센터,서울특별시 은평구 연서로 59,37.6044014200,126.9151011000
CJ드림씨티,서울특별시 은평구 은평로 91,37.5996015900,126.9173563000
해태 드림타운,서울특별시 은평구 은평로 82,37.5990844300,126.9169675000
서강스카이 아파트,서울특별시 은평구 응암로 319,37.5998280500,126.9214299000
서강 스카이Ⅱ,서울특별시 은평구 응암로 295,37.5981497800,126.9201858000
경향렉스빌,서울특별시 은평구 은평로 160,37.6007260000,126.9260375000
녹본역센트레빌,서울특별시 은평구 백련산로 160,37.5983205600,126.9260720000
응암 SH빌,서울특별시 은평구 백련산로 146-30,37.5981022200,126.9268339000
응암 푸르지오 아파트,서울특별시 은평구 백련산로 146,37.5977735700,126.9263629000
응암 금호 아파트,서울특별시 은평구 응암로 318,37.5994635400,126.9219674000
서울은명초등학교,서울특별시 은평구 은평로4길 21-9,37.5976774700,126.9178032000
영락중학교,서울특별시 은평구 백련산로 134-6,37.5969609500,126.9251856000
신진과학기술고등학교,서울특별시 은평구 은평로6길 16,37.5987141500,126.9188414000
응암제1동주민센터,서울특별시 은평구 백련산로 179,37.6006964400,126.9267513000
백련산힐스테이트4차,서울특별시 은평구 백련산로 37,37.5894115900,126.9223614000
백련산힐스테이트3차,서울특별시 은평구 백련산로 36,37.5884590200,126.9246170000
백련산힐스테이트2차,서울특별시 은평구 백련산로 38,37.5892742600,126.9231106000
백련산힐스테이트1차,서울특별시 은평구 백련산로2길 19,37.5924823700,126.9251367000
자선메르시안,서울특별시 은평구 응암로18길 18-9,37.5918958800,126.9201062000
응암신동아 아파트,서울특별시 은평구 백련산로 127,37.5971452400,126.9236542000
대주 피오레,서울특별시 은평구 백련산로 6,37.5861488000,126.9232349000
응암동 서부중앙교회,서울특별시 은평구 은평로 105,37.6001338700,126.9193984000
서울연은초등학교,서울특별시 은평구 백련산로2길 35,37.5905066800,126.9248707000
응암2동주민센터,서울특별시 은평구 백련산로 100,37.5945809600,126.9230682000
남청파인힐,서울특별시 은평구 응암로 142-32,37.5840373900,126.9160077000
응암 우성 아파트,서울특별시 은평구 가좌로7나길 30,37.5840101900,126.9189406000
응암 경남아파트,서울특별시 은평구 가좌로7나길 35,37.5833354300,126.9200372000
충암초등학교,서울특별시 은평구 가좌로5길 5,37.5846400700,126.9218073000
충암중학교,서울특별시 은평구 가좌로5길 5,37.5846400700,126.9218073000
충암고등학교,서울특별시 은평구 가좌로5길 5,37.5846400700,126.9218073000
응암제3동주민센터,서울특별시 은평구 불광천길 410-17,37.5922251400,126.9157193000
덕원 DMC,서울특별시 은평구 증산로 221,37.5787867900,126.9035736000
수색천주교,서울특별시 은평구 증산서길 20,37.5793122100,126.9019357000
DMC명문퀸즈파크,서울특별시 은평구 증산로13길 44-5,37.5876286400,126.9077581000
증산 두산위브아파트,서울특별시 은평구 증산서길 79,37.5841545800,126.9062350000
우방 아파트,서울특별시 은평구 증산로3길 26-1,37.5814887600,126.9024811000
DMC 청구 아파트,서울특별시 은평구 증산로1길 26,37.5804925700,126.9009673000
증산 중앙하이츠,서울특별시 은평구 증산로 285,37.5831549700,126.9082423000
증산 태광 아파트,서울특별시 은평구 증산로 303,37.5842569900,126.9095169000
월드빌 아파트,서울특별시 은평구 증산로 333,37.5862321200,126.9116734000
유니온 빌딩,서울특별시 은평구 증산로 325,37.5856501100,126.9110931000
서울증산초등학교,서울특별시 은평구 증산서길 61,37.5825669700,126.9040957000
연서중학교,서울특별시 은평구 증산서길 125-6,37.5870209200,126.9092728000
증산중학교,서울특별시 은평구 증산로5길 27-30,37.5838182000,126.9049379000
증산동주민센터,서울특별시 은평구 증산서길 89,37.5843511100,126.9070247000
금호어울림 10단지,서울특별시 은평구 진관3로 15-45,37.6442908100,126.9161763000
엘크루 오피스텔,서울특별시 은평구 진관3로 21,37.6396054400,126.9191222000
삼성레미안 9단지,서울특별시 은평구 진관3로 67,37.6427663900,126.9209121000
상림마을 아이파크,서울특별시 은평구 진관4로 48-8,37.6439591600,126.9282149000
상림마을 아이파크,서울특별시 은평구 진관4로 48-50,37.6432023200,126.9292116000
상림마을 아이파크,서울특별시 은평구 진관4로 48-51,37.6436307800,126.9297607000
상림마을 아이파크,서울특별시 은평구 진관4로 48-17,37.6451316400,126.9273482000
상림마을 아이파크,서울특별시 은평구 진관4로 78-8,37.6461505300,126.9284214000
상림마을 아이파크,서울특별시 은평구 진관4로 77,37.6466997700,126.9283796000
상림마을 아이파크,서울특별시 은평구 진관4로 47,37.6457107400,126.9266260000
G WELL,서울특별시 은평구 진관4로 78-38,37.6441388000,126.9311358000
상림마을 롯데캐슬,서울특별시 은평구 진관4로 37,37.6444711900,126.9250688000
상림마을 롯데캐슬,서울특별시 은평구 진관4로 17,37.6436495600,126.9229050000
상림마을 롯데캐슬,서울특별시 은평구 진관3로 70,37.6422536700,126.9229818000
상림마을 푸르지오,서울특별시 은평구 진관4로 100,37.6498064500,126.9331512000
상림마을 푸르지오,서울특별시 은평구 진관4로 78-7,37.6473948600,126.9305113000
상림마을 푸르지오,서울특별시 은평구 진관4로 107,37.6497497200,126.9308629000
상림마을 푸르지오,서울특별시 은평구 진관4로 87,37.6478377200,126.9296664000
박석고개 힐스테이트,서울특별시 은평구 진관1로 22,37.6312793600,126.9230040000
박석고개 힐스테이트,서울특별시 은평구 진관1로 21-9,37.6329234000,126.9195135000
박석고개 힐스테이트,서울특별시 은평구 진관1로 21-10,37.6342739300,126.9194033000
폭포동 힐스테이트,서울특별시 은평구 진관1로 77-8,37.6313663300,126.9305935000
은평구립체육센터,서울특별시 은평구 진관1로 40,37.6304376700,126.9235826000
폭포동 힐스테이트,서울특별시 은평구 연서로44길 55,37.6276531700,126.9364809000
폭포동 힐스테이트,서울특별시 은평구 연서로44길 7,37.6282664400,126.9355433000
기자촌11단지,서울특별시 은평구 연서로46길 7,37.6339634200,126.9328223000
제각말 푸르지오,서울특별시 은평구 연서로48길 12,37.6371450300,126.9359266000
제각말 푸르지오,서울특별시 은평구 연서로48길 11,37.6377935500,126.9369031000
제각말 푸르지오,서울특별시 은평구 연서로 487,37.6400346300,126.9346278000
제각말 푸르지오,서울특별시 은평구 연서로 455,37.6373963000,126.9338156000
우물골 두산위브,서울특별시 은평구 진관2로 111-7,37.6370354300,126.9317700000
우물골 두산위브,서울특별시 은평구 진관2로 57-37,37.6351998600,126.9260859000
우물골 두산위브,서울특별시 은평구 진관2로 29-21,37.6357420000,126.9193368000
우물골 두산위브,서울특별시 은평구 진관2로 77,37.6345828600,126.9266046000
마고정동부센트레빌,서울특별시 은평구 진관2로 60,37.6339174800,126.9227961000
마고정동부센트레빌,서울특별시 은평구 진관2로 90,37.6338730500,126.9258331000
마고정동부센트레빌,서울특별시 은평구 진관1로 55,37.6315664000,126.9278149000
은평스카이뷰자이,서울특별시 은평구 통일로 1034,37.6352840600,126.9175419000
구파발아이파크오피스,서울특별시 은평구 통일로 1010,37.6327976800,126.9185750000
어드밴스힐오피스,서울특별시 은평구 진관1로 21-35,37.6335641800,126.9186432000
한강메이플카운티,서울특별시 은평구 진관2로 12,37.6342570400,126.9185425000
구파발헤스티아,서울특별시 은평구 통일로 1022,37.6337992200,126.9177447000
서울진관초등학교,서울특별시 은평구 진관4로 78-16,37.6454362700,126.9291456000
서울북한산초등학교,서울특별시 은평구 대서문길 42-3,37.6536286900,126.9504583000
서울신도초등학교,서울특별시 은평구 진관1로 77-23,37.6329391100,126.9291548000
서울은진초등학교,서울특별시 은평구 진관1로 21-20,37.6330424800,126.9207127000
서울은빛초등학교,서울특별시 은평구 진관3로 73-17,37.6426595200,126.9190781000
진관중학교,서울특별시 은평구 진관4로 36,37.6442519400,126.9257292000
신도중학교,서울특별시 은평구 진관1로 77-30,37.6329815200,126.9308536000
하나고등학교,서울특별시 은평구 연서로 535,37.6416419700,126.9370183000
은평메디텍고등학교,서울특별시 은평구 진관2로 57-57,37.6353498800,126.9297094000
신도고등학교,서울특별시 은평구 통일로 961,37.6291321200,126.9187526000
진관고등학교,서울특별시 은평구 진관4로 26,37.6433386600,126.9243826000
진관동주민센터,서울특별시 은평구 진관2로 31,37.6350086400,126.9209222000
은뜨락 아파트,서울특별시 은평구 통일로 972,37.6301433200,126.9199615000
