설치주소,설치건물,보유수량,관리부서명,관리부서 전화번호,데이터기준일자
서울특별시 동대문구 전농로3길 23,답십리초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로3길 62,,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로 53,,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로3길 78-18,,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로 79-20,,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로 141,래미안 미드카운티,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로 130,답십리래미안위브,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로 30,답십리1동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로41길 33,답십리대우푸르지오,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로9길 7-1,전농로9길7-1,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 황물로15길 25,답십리두산위브아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로 177,신답초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리동 463-1 숭인중학교,숭인중학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로 130,답십리래미안위브,3,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로11길 18,답십리2동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 전농로10길 20,청솔우성아파트,4,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로 184,답십리로184 동서울한양아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로56길 21,두산아파트,3,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로11길 10-1,답십리 동아아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로 210-30,동답한신아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로60길 38,답십리대림e편한세상아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로59길 33,우성그린아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로59길 7,답십리세양청마루아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로37길 33,래미안엘파인아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장안벚꽃로 107,장안현대홈타운1차아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장한로14길 81,장안삼성래미안아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로6길 21,군자초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장한로14길 61,안평초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로72길 158,장평중학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로77길 79,신일해피트리1차아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로77가길 27,신일해피트리2차아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로79길 70,신일해피트리3차아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 천호대로77다길 11-6,해오름아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로18길 52,장안1동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 사가정로 230-1,장안2동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장한로26다길 84,장안2차현대홈타운아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 답십리로69길 27,장평초등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장한로26다길 12,광남캐스빌아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장안벚꽃로 167,장안래미안2차아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장안벚꽃로1길 7,장안힐스테이트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장안벚꽃로 201,동대부속고등학교,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 장한로28가길 44,장안3차현대홈타운아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 홍릉로10길 48,홍릉동부아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 약령시로 154,미주아파트,2,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 회기로25길 12-1,회기동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 왕산로 43다길 5,(구)청량리동 주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 이문로1길 21,청량리신현대아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 외대역동로6길 3,휘경1동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로 329,휘경2동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로 248,주공아파트1단지,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로 300,휘경 동일스위트리버아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 망우로 28,회기휘경새마을금고,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 외대역동로 114-1,이문1동주민센터,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 이문로9길 52,이문청소년독서실,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 이문로 114,한국외국어대학교 글로벌홀,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 휘경로17길 13-5,아라하우스,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 회기로25길 67,동안교회,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 휘경로2길 25,,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로58길 107,이문현대아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
서울특별시 동대문구 한천로58길 47,이문쌍용아파트,1,서울특별시 동대문구청,02-2127-4620,2026-04-17
