구분,시설명,관할동,소재지,전화번호
폐형광등 수거함,폐형광등 폐건전지 수거함-84,광장동,서울특별시 광진구 아차산로 540,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-108,자양2동,서울특별시 광진구 뚝섬로56길 72,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-155,자양3동,서울특별시 광진구 뚝섬로40길 45,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-156,자양4동,서울특별시 광진구 동일로18길 101,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-157,자양4동,서울특별시 광진구 뚝섬로26길 58,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-158,자양4동,서울특별시 광진구 뚝섬로31길 27,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-159,자양4동,서울특별시 광진구 자양강변길 73,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-160,자양4동,서울특별시 광진구 능동로3길 53,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-161,자양4동,서울특별시 광진구 능동로1길 15,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-162,자양4동,서울특별시 광진구 뚝섬로31길 20,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-163,자양4동,서울특별시 광진구 능동로 19,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-164,자양4동,서울특별시 광진구 능동로3다길 13,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-165,자양4동,서울특별시 광진구 능동로3길 17,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-166,자양4동,서울특별시 광진구 뚝섬로24길 74,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-167,화양동,서울특별시 광진구 군자로 38,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-168,화양동,서울특별시 광진구 능동로13길 39,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-169,화양동,서울특별시 광진구 능동로16길 56-6,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-170,화양동,서울특별시 광진구 능동로17길 39,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-171,화양동,서울특별시 광진구 동일로 178,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-172 (옆),화양동,서울특별시 광진구 동일로28길 48,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-173,화양동,서울특별시 광진구 군자로 9,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-174,화양동,서울특별시 광진구 광나루로 346,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-175,화양동,서울특별시 광진구 동일로24길 5,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-154,자양3동,서울특별시 광진구 자양번영로3길 65,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-130,자양3동,서울특별시 광진구 뚝섬로 576,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-109,자양2동,서울특별시 광진구 뚝섬로56길 7,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-110,자양2동,서울특별시 광진구 자양로5길 33,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-111,자양2동,서울특별시 광진구 자양로3길 55,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-112,자양2동,서울특별시 광진구 뚝섬로56가길 10,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-113,자양2동,서울특별시 광진구 뚝섬로56가길 28,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-114,자양2동,서울특별시 광진구 자양로3가길 43,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-115,자양2동,서울특별시 광진구 자양로3길 7,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-116,자양2동,서울특별시 광진구 자양로3가길 31,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-117,자양2동,서울특별시 광진구 뚝섬로64길 45,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-118,자양2동,서울특별시 광진구 구의강변로 11,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-119,자양2동,서울특별시 광진구 뚝섬로46길 74,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-120,자양2동,서울특별시 광진구 구의강변로1길 44,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-121 (자양3동 주민센터),자양3동,서울특별시 광진구 뚝섬로 568,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-122,자양3동,서울특별시 광진구 뚝섬로 587,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-123,자양3동,서울특별시 광진구 자양번영로3길 27,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-124,자양3동,서울특별시 광진구 아차산로 262,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-125,자양3동,서울특별시 광진구 능동로 42,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-126,자양3동,서울특별시 광진구 능동로 50,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-127,자양3동,서울특별시 광진구 뚝섬로33길 42,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-128,자양3동,서울특별시 광진구 뚝섬로35길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-129,자양3동,서울특별시 광진구 뚝섬로 561,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-16,중곡4동,서울특별시 광진구 긴고랑로 131,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-185,군자동,서울특별시 광진구 군자로 74,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-184,군자동,서울특별시 광진구 동일로40길 34,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-48,구의3동,서울특별시 광진구 구의강변로 64,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-49,구의3동,서울특별시 광진구 구의강변로 94,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-50,구의3동,서울특별시 광진구 광나루로56길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-51,구의3동,서울특별시 광진구 광나루로56길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-52,구의3동,서울특별시 광진구 광나루로56길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-53,구의3동,서울특별시 광진구 광나루로56길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-54,구의3동,서울특별시 광진구 광나루로56길 29,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-55,구의3동,서울특별시 광진구 구의강변로5길 7,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-56,구의3동,서울특별시 광진구 구의강변로 84,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-57,구의3동,서울특별시 광진구 아차산로 431,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-58,광장동,서울특별시 광진구 천호대로143길 8-8,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-59,광장동,서울특별시 광진구 광장로1다길 12-3,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-60,광장동,서울특별시 광진구 광장로1다길 2,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-61,광장동,서울특별시 광진구 광장로3길 18-13,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-85,광장동,서울특별시 광진구 아차산로69길 19,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-86,광장동,서울특별시 광진구 광나루로 579,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-87,광장동,서울특별시 광진구 아차산로69길 29,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-88,광장동,서울특별시 광진구 천호대로 808,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-89,광장동,서울특별시 광진구 광나루로 595,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-90,광장동,서울특별시 광진구 아차산로 537-17,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-91,광장동,서울특별시 광진구 아차산로 503-23,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-47,구의3동,서울특별시 광진구 구의강변로3가길 39,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-46,구의3동,서울특별시 광진구 구의강변로 42,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-2,중곡1동,서울특별시 광진구 동일로64길 31,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-3,중곡1동,서울특별시 광진구 동일로 354,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-4,중곡2동,서울특별시 광진구 긴고랑로17길 10,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-5,중곡2동,서울특별시 광진구 능동로42길 77,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-6,중곡2동,서울특별시 광진구 용마산로1길 84,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-7,중곡2동,서울특별시 광진구 천호대로113길 10,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-8,중곡2동,서울특별시 광진구 긴고랑로15길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-9,중곡3동,서울특별시 광진구 능동로 415-1,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-10,중곡3동,서울특별시 광진구 능동로 447,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-11,중곡3동,서울특별시 광진구 답십리로76길 12,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-12,중곡3동,서울특별시 광진구 동일로76가길 28,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-13,중곡3동,서울특별시 광진구 긴고랑로1길 55,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-14,중곡3동,서울특별시 광진구 동일로72길 17,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-15,중곡3동,서울특별시 광진구 동일로 459,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-39,구의2동,서울특별시 광진구 광나루로 545,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-40,구의3동,서울특별시 광진구 강변역로4길 68,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-41,구의3동,서울특별시 광진구 광나루로54길 14,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-42,구의3동,서울특별시 광진구 구의로16길 36,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-43,구의3동,서울특별시 광진구 아차산로 452,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-44,구의3동,서울특별시 광진구 구의강변로 106,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-45,구의3동,서울특별시 광진구 아차산로 451,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-92,자양1동,서울특별시 광진구 뚝섬로47길 19,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-93,자양1동,서울특별시 광진구 자양로 113,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-140,자양3동,서울특별시 광진구 아차산로36길 39,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-141,자양3동,서울특별시 광진구 자양번영로3길 66,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-142,자양3동,서울특별시 광진구 능동로4길 41,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-143,자양3동,서울특별시 광진구 뚝섬로36길 19,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-144,자양3동,서울특별시 광진구 뚝섬로34길 32,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-145,자양3동,서울특별시 광진구 아차산로36길 13,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-146,자양3동,서울특별시 광진구 뚝섬로34길 25-19,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-147,자양3동,서울특별시 광진구 능동로4길 78,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-148,자양3동,서울특별시 광진구 뚝섬로36길 75,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-149,자양3동,서울특별시 광진구 뚝섬로34길 67,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-150,자양3동,서울특별시 광진구 능동로4길 38,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-151,자양3동,서울특별시 광진구 능동로4길 38,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-152,자양3동,서울특별시 광진구 능동로 18,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-153,자양3동,서울특별시 광진구 자양번영로 59,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-177,화양동,서울특별시 광진구 광나루로 410,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-178,화양동,서울특별시 광진구 광나루로 370,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-179,군자동,서울특별시 광진구 광나루로 389,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-180,군자동,서울특별시 광진구 군자로 151,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-181,군자동,서울특별시 광진구 능동로21길 40,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-182,군자동,서울특별시 광진구 동일로52길 27,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-183,군자동,서울특별시 광진구 군자로12길 46,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-139,자양3동,서울특별시 광진구 뚝섬로33길 20,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-138,자양3동,서울특별시 광진구 뚝섬로34길 9,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-94,자양1동,서울특별시 광진구 자양로 117,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-95,자양1동,서울특별시 광진구 자양로13길 37,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-96,자양1동,서울특별시 광진구 자양로 109,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-97,자양1동,서울특별시 광진구 자양로21길 16-14,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-98,자양2동,서울특별시 광진구 뚝섬로 610,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-99,자양2동,서울특별시 광진구 뚝섬로58길 13,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-100,자양2동,서울특별시 광진구 뚝섬로62길 24,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-101,자양2동,서울특별시 광진구 자양로3가길 28,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-102,자양2동,서울특별시 광진구 뚝섬로46길 64,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-103,자양2동,서울특별시 광진구 뚝섬로52길 71,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-104,자양2동,서울특별시 광진구 뚝섬로52길 71,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-105,자양2동,서울특별시 광진구 뚝섬로54길 74,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-106,자양2동,서울특별시 광진구 뚝섬로52마길 56,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-107,자양2동,서울특별시 광진구 뚝섬로56길 72,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-131,자양3동,서울특별시 광진구 뚝섬로41길 33,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-132,자양3동,서울특별시 광진구 뚝섬로 553,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-133,자양3동,서울특별시 광진구 자양번영로 59,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-134,자양3동,서울특별시 광진구 뚝섬로 569,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-135,자양3동,서울특별시 광진구 뚝섬로 569,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-136,자양3동,서울특별시 광진구 자양번영로1길 57,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-137,자양3동,서울특별시 광진구 자양번영로1길 31-10,02-450-7609
폐형광등 수거함,폐형광등 폐건전지 수거함-176,화양동,서울특별시 광진구 광나루로30길 49,02-450-7609
